modality,signal,embedding_type,embedding_size,metric
visual,idle,contrastive+autoencoder,8,0.5555555820465088
visual,idle,contrastive+autoencoder,8,0.9166666865348816
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,0.0
visual,idle,contrastive+autoencoder,8,0.8333333134651184
visual,idle,contrastive+autoencoder,8,0.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,0.0666666701436042
visual,searching,contrastive+autoencoder,8,0.3333333432674408
visual,searching,contrastive+autoencoder,8,0.0
visual,searching,contrastive+autoencoder,8,0.0
visual,searching,contrastive+autoencoder,8,0.5555555820465088
visual,searching,contrastive+autoencoder,8,0.0
visual,searching,contrastive+autoencoder,8,0.1666666716337204
visual,searching,contrastive+autoencoder,8,0.0
visual,searching,contrastive+autoencoder,8,0.8666666746139526
visual,searching,contrastive+autoencoder,8,0.171875
visual,searching,contrastive+autoencoder,8,0.0
visual,searching,contrastive+autoencoder,8,0.3531250059604645
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,0.3333333432674408
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.3333333432674408
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.5
visual,has_item,contrastive+autoencoder,8,0.6666666865348816
visual,has_information,contrastive+autoencoder,8,0.3333333432674408
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.4166666567325592
visual,has_information,contrastive+autoencoder,8,0.0
visual,has_information,contrastive+autoencoder,8,0.0
visual,has_information,contrastive+autoencoder,8,0.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.0
visual,has_information,contrastive+autoencoder,8,0.3333333432674408
visual,idle,contrastive,8,0.5555555820465088
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,0.0
visual,idle,contrastive,8,0.8333333134651184
visual,idle,contrastive,8,0.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,0.0
visual,searching,contrastive,8,0.3333333432674408
visual,searching,contrastive,8,0.0
visual,searching,contrastive,8,0.0
visual,searching,contrastive,8,0.5555555820465088
visual,searching,contrastive,8,0.0
visual,searching,contrastive,8,1.0
visual,searching,contrastive,8,0.0
visual,searching,contrastive,8,0.5333333611488342
visual,searching,contrastive,8,0.171875
visual,searching,contrastive,8,0.0
visual,searching,contrastive,8,0.5
visual,has_item,contrastive,8,0.0
visual,has_item,contrastive,8,0.3333333432674408
visual,has_item,contrastive,8,1.0
visual,has_item,contrastive,8,0.3333333432674408
visual,has_item,contrastive,8,0.0
visual,has_item,contrastive,8,0.0
visual,has_item,contrastive,8,0.0
visual,has_item,contrastive,8,0.0
visual,has_item,contrastive,8,0.5555555820465088
visual,has_item,contrastive,8,0.5
visual,has_item,contrastive,8,0.6666666865348816
visual,has_information,contrastive,8,0.3333333432674408
visual,has_information,contrastive,8,1.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,1.0
visual,idle,autoencoder,8,0.5555555820465088
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,0.0
visual,idle,autoencoder,8,0.8333333134651184
visual,idle,autoencoder,8,0.0
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,0.0
visual,searching,autoencoder,8,0.3333333432674408
visual,searching,autoencoder,8,0.0
visual,searching,autoencoder,8,0.0
visual,searching,autoencoder,8,0.1111111119389534
visual,searching,autoencoder,8,0.0
visual,searching,autoencoder,8,0.3333333432674408
visual,searching,autoencoder,8,0.0
visual,searching,autoencoder,8,0.8666666746139526
visual,searching,autoencoder,8,0.171875
visual,searching,autoencoder,8,0.0
visual,searching,autoencoder,8,0.3656250014901161
visual,has_item,autoencoder,8,0.0
visual,has_item,autoencoder,8,0.3333333432674408
visual,has_item,autoencoder,8,0.0
visual,has_item,autoencoder,8,0.3333333432674408
visual,has_item,autoencoder,8,0.0
visual,has_item,autoencoder,8,0.0
visual,has_item,autoencoder,8,0.0
visual,has_item,autoencoder,8,0.0
visual,has_item,autoencoder,8,0.5555555820465088
